丂乗乗搒撪朸強丅=　――都内某处。
廐恖乽婥偵側傞側乧乧丅捛偄偐偗偰傒傞偐乿=秋人「有点在意啊……去追一下看看吧」
丂壌偼嫵幒傪弌偰偄偙偆偲偡傞埁傪捛偭偰丄偡偖偵楲壓傊偲弌偨丅=　追着正要离开教室的葵，立即走进了走廊。
廐恖乽偁乧乧乿=秋人「啊……」
丂楲壓偵弌傞偲丄偡偖偵埁偺攚拞偑壌偺栚偵擖偭偨丅=　一走进走廊，葵的背影立刻映入眼帘。
丂壌偼傎偭偲偡傞偲摨帪偵丄埁偵惡傪偐偗偨丅=　松了口气的同时，向葵打了声招呼。
丂埁偼嬃偄偨傛偆側惡傪弌偟偰丄怳傝岦偄偨丅=　葵发出惊讶的声音，转过身来。
埁乽乧乧乧乧乧乧側傫偩丄廐恖偐乿=葵「………………哦，原来是秋人啊」
丂埁偼偨傔懅傪偮偔丅偦偟偰嵞傃埁偼曕偒弌偟偨丅=　葵叹了口气。然后又继续往前走。
丂側傫偰儎僣偩丅=　真是个讨厌的家伙。
丂恖偑怱攝偟偰傗偭偰傞偺偵丄偨傔懅偲偼丅=　明明是在为她担心，却只得到一声叹息。
丂偦傟偵乽側傫偩丄廐恖偐乿偲偼丅=　而且还说「哦，原来是秋人啊」。
丂壌偼暜奡偟側偑傜埁偺屻傪捛偄偐偗偨丅=　愤慨地追在葵的身后。
廐恖乽側傫偩丄偲偼幐宧側両乿=秋人「什么叫『哦』啊，太失礼了吧！」
丂埁偼丄僕僩栚偱壌傪尒偨丅=　葵用不屑的眼神看着我。
丂崱搙偼僕僩栚偐丠丂側傫側傫偩僐僀僣偼丠=　这回又是半眯着眼睛？这家伙到底怎么回事？
埁乽偛傔傫偹丅偱傕丄傢偨偟偼崱朲偟偄偺乧乧乿=葵「对不起啊。不过，我现在很忙……」
廐恖乽朲偟偄丠丂乧乧偼偀丄偦偆側偺偐丠丂儊僔偼怘偭偨偺偐丠乿=秋人「忙？……哈？是这样吗？吃过饭了吗？」
埁乽傑偩傛丅偱傕丄偡偖偵棃偰梸偟偄偭偰偄偆屇傃弌偟偑偁偭偨偐傜丄偡偖偵峴偐側偄偲乿=葵「还没呢。不过，有人叫我马上过去，所以得赶紧走了。」
廐恖乽屇傃弌偟丠丂扤偐傜偩傛乧乧乿=秋人「叫你？是谁啊……」
埁乽乧乧偝偀丠乿=葵「……谁知道呢？」
廐恖乽偼丠乿=秋人「啊？」
丂乧乧曫傟偰偟傑偭偨丅=　……简直无语了。
丂扤偵屇傃弌偝傟偨偐傕傢偐傜側偄偺偵丄偦傟傪彮偟傕夦偟偑傞帠傕側偔娫偵庴偗傞偲偼乧乧丅=　连是谁叫她都不知道，却毫不怀疑就这么轻易相信了……
丂慜偐傜儃働偰傞乧乧乧傕偲偄桪偟偄惈奿偩偭偨偑丄僐僀僣偼恖傪媈偆偙偲傪抦傜傫偺偐丠=　从前就知道她脑子不太好使……不，是性格善良，但这家伙难道不懂得怀疑别人吗？
丂偍恖傛偟傕傎偳偑偁傞偧丅=　善良过头也是个问题啊。
廐恖乽傛偭偟傖両丂壌傕偮偄偰偭偰傗傠偆乿=秋人「好嘞！我也跟你一起去」
埁乽偊乣両丠丂側傫偱偮偄偰偔傫偺傛丄廐恖側傫偐幾杺傛丅偠傖丒傑偭両乿=葵「诶～！？为什么要跟来啊，秋人你这家伙真碍事。拜拜啦！」
丂乧乧傂偭偱乕尵傢傟傛偆偩丅偦偙傑偱尵偆偐丄晛捠丅=　……真是过分的说法啊。一般人会说到这种程度吗。
丂怱攝偟偰傫偩偧丅怱攝丅=　明明是在担心她啊。担心。
丂偦傟傪幾杺偲偼側傫偩幾杺偲偼両=　居然说碍事，什么叫碍事啊！
丂偟偐偟丄偙偙偱搟偭偨傜埁偺巚偆僣儃偩丅=　不过，在这里发火的话就正中葵的下怀了。
丂乧乧乧傕偲偄丄埁傪庣傞偙偲偑弌棃側偔側偭偰偟傑偆丅=　……不，应该说是会失去保护葵的机会。
廐恖乽傑丄傑偀偄偄偠傖偹偉偐丅壌偩偭偰丄扤偑屇傃弌偟偨偺偐嫽枴偁傝偁傝偩偐傜側乿=秋人「算、算了吧。我也对是谁叫你出去很感兴趣嘛」
埁乽乧乧傓偅丅巇曽側偄傢偹乿=葵「……唔。没办法呢」
廐恖乽偍偄偍偄丄偍傑偊偙傫側偲偙偵屇傃弌偝傟偨偺偐傛乿=秋人「喂喂，你被叫到这种地方来了吗」
埁乽偊偉丄偦偆傛乿=葵「嗯，是啊」
丂偁偭偗傜偐傫偲摎偊傞埁偩偑丄晛捠偙傫側偲偙傠偵屇傃弌偡儎僣偲尵偭偨傜丄戝懱儃僐儃僐偵偡傞偐崘敀偡傞偐偺偳偪傜偐偩丅=　葵轻松地回答着，但通常被叫到这种地方来的家伙，不是要被揍就是要被告白。
丂傑偀丄屻幰偩傠偆側丅=　嘛，应该是后者吧。
丂埁傪崷傫偱傞儎僣偺榖側傫偰暦偄偨偙偲偑側偄丅=　从没听说过有人恨葵的事。
丂偟偽傜偔曕偄偰傞偲丄僥僯僗晹僉儍僾僥儞偺棳堦偑偄偨丅=　走了一会儿，看到了网球部队长流一。
丂偙傟偼帡偮偐傢偟偔側偄偲偙傠偵偄偨傕傫偩丅=　这家伙出现在这种不相称的地方啊。
廐恖乽偍傗乧乧丠乿=秋人「哎呀……？」
埁乽偁丄嶀栘愭攜乧乧乿=葵「啊，冴木前辈……」
丂棳堦偼埁偺巔傪妋擣偡傞偲徫婄傪晜偐傋傞偑丄壌偵偼傎傫偺堦弖偩偗椻偨偄帇慄傪岦偗偰寉偔愩懪偪偟偨丅=　流一确认葵的身影后露出笑容，但对我却瞬间投来冷冷的目光，轻轻咂了下舌。
廐恖乽乮乧乧幾杺偟偪傑偭偨傒偨偄偩側乯乿=秋人「……看来是打扰到他们了啊」
丂埁偼偦傟偵婥晅偐側偐偭偨偺偐丄棳堦偵徫婄傪晜偐傋偰偄傞丅=　葵似乎没注意到这点，对流一露出了笑容。
埁乽偙丄偙傫偵偪偼偱偡丅屇傃弌偟偨偺偭偰丄嶀栘愭攜偩偭偨傫偱偡偹乿=葵「你、你好。原来是冴木前辈叫我来的啊」
棳堦乽偆傫丅幚偼丄偦偆側傫偩乿=流一「嗯。其实，是这样的」
埁乽偦傟偱乧乧梡偭偰壗偱偡偐丠乿=葵「那么……有什么事吗？」
棳堦乽乧乧偆乣傫丄廐恖偔傫偑偄傞慜偱偼偪傚偭偲榖偣側偄側乿=流一「……唔～嗯，秋人在这里的话，有些话就不太方便说了呢」
丂棳堦偼嬯徫偄傪晜偐傋側偑傜僠儔僠儔偲壌偺曽傪尒偰偄傞丅=　流一一边露出苦笑，一边不时瞥向我这边。
丂偳偆傕壌偵偼徚偊偰梸偟偄傜偟偄丅=　看来他是想让我消失啊。
丂偸丄壌偼僲働幰偐丠丂傑偀偙偺忬嫷偩偲偦偆偩傠偆側丅=　嗯？难道我是个多余的人？嘛，在这种情况下确实如此吧。
丂偱傕丄埁偑怱攝偩偟側偀乧乧丅=　但是，还是有点担心葵啊……
廐恖乽偲傝偁偊偢懸偭偰傑偡偐傜丄梡審嵪傑偣偪傖偭偰偔偩偝偄傛乿=秋人「我先在这里等着，你们把事情办完吧」
丂棳堦偼寉偔嵘傒偮偗偰偒偨丅=　流一轻轻地瞪了我一眼。
丂偦傫側偵壌傪僲働幰偵偟偨偄偺偩傠偆偐乧乧丠=　他真的那么想把我当成多余的人吗……？
棳堦乽廐恖偔傫丄孨偼嫵幒偵栠偭偰拫怘偱傕怘傋偰偄偨傜偳偆偩偄丠乿=流一「秋人君，你不如回教室去吃午饭如何？」
丂乧乧僇僢僠乕儞丅=　……咔嚓。
丂棳堦偼丄姰慡偵壌傪偙偺応偐傜棫偪嫀傜偣偨偄傜偟偄丅=　流一似乎完全想让我离开这个地方。
廐恖乽乧乧偆乕傫偱傕丄堦恖偱怘偆偺傕側傫偩偟丅埁傪懸偭偰傑偡傛乿=秋人「……嗯，不过一个人吃也不太好。我还是等葵吧」
棳堦乽傂偲傝偱怘傋傞偺偑偦傫側偵僀儎側偺偐偄丠乿=流一「一个人吃饭就那么讨厌吗？」
丂乧傑偡傑偡僇僢僠乕儞両=　……越来越生气了！
丂壗傕偦傫側尵偄曽偼柍偄偩傠丅=　用不着那种说法吧。
丂偙偆側偭偨傜丄偲偙偲傫幾杺偟偰傗傞丅=　既然这样，就彻底妨碍他到底。
廐恖乽偲偄偆傛傝丄埁偲偼偄偮傕堦弿偵怘偭偰傑偡偐傜偹丅偨偩偺廗姷偭偡傛丄廗姷乿=秋人「与其说那个，我一直都是和葵一起吃饭的。只是习惯罢了，习惯」
埁乽傕偆丄傗傔側傛廐恖両乿=葵「够了，别闹了秋人！」
丂埁偼壌偺懌傪偐偐偲偱巚偄愗傝摜傒偮偗偰偒偨丅=　葵用脚后跟狠狠地踩在我的脚上。
丂偑偡偭両=　咔嚓！
廐恖乽偄偭偱偉乕偭両両両乿=秋人「痛死我了！！！」
丂偁傑傝偺捝偝偵丄塃媟傪書偊側偑傜栥偊偰偟傑偆丅=　疼得要命，抱着右腿在地上打滚。
丂偄丄偄偒側傝壗傪偡傞傫偩僐僀僣偼偭両両丠=　这家伙突然发什么疯啊！！？
埁乽偡丄偡傒傑偣傫乧乧偲傝偁偊偢丄梡審偩偗偱傕乧乧乿=葵「对、对不起……总之，至少先说正事吧……」
棳堦乽偄傗乧乧崱偼傗傔偰偍偙偆丅埁偔傫偑杔偐傜摝偘傞傢偗偱偼側偄偐傜偹乿=流一「不……现在还是算了吧。反正葵君也不会从我这里逃走的」
埁乽偊乧丠乿=葵「诶……？」
丂棳堦偼庤傪怳傞偲丄僋儖儕偲纟傪曉偟偨丅=　流一挥了挥手，转身离开了。
棳堦乽偦傟偠傖丄傑偨偹埁偔傫乿=流一「那么，再见了葵君」
丂壌偲埁偼曫慠偲偟側偑傜棳堦偺屻傠巔傪尒憲偭偰偄偭偨丅=　和葵呆呆地目送着流一离去的背影。
埁乽乧乧傕偆丄廐恖偺偣偄偱柍懯懌摜傫偠傖偭偨偠傖側偄偺両乿=葵「……真是的，都怪秋人害我白跑一趟！」
丂偦偆偄偭偰埁偼壌傪億僇億僇偲墸偭偰偔傞丅=　说着，葵开始不停地打我。
丂側傫偩両丠丂懌偺師偼摢偐両丠=　搞什么啊！？先是脚，现在又打头！？
廐恖乽壌偐両丠丂壌偺偣偄側偺偐傛両乿=秋人「我！？这怎么能怪我啊！」
丂壌偼埁偵僪僣偐傟側偑傜傕儂僢偲嫻傪側偱壓傠偟偰偄偨丅=　虽然被葵揍着，但还是松了一口气。
丂偲傝偁偊偢壌偼埁傪側偩傔側偑傜丄嫵幒傊偲栠偭偨乧乧丅=　总之一边安抚着葵，一边回到了教室……
埁乽傆偅乧乧婥帩偪偄偄側乿=葵「呼……真舒服啊」
丂椓偟偄晽偑傢偨偟偺杍傪桪偟偔側偱偮偗傞丅=　凉爽的风轻轻抚摸着脸颊。
丂傢偨偟偼崱擔嵟屻偺庼嬈偑廔傢偭偨屻丄側傫偲側偔晽偵摉偨傝偨偔側偭偰丄壆忋傊偲傗偭偰棃偰偄偨丅=　今天最后一节课结束后，不知怎的想吹吹风，就来到了屋顶。
丂杮摉偼傕偆丄晹妶偺巒傑傞帪娫丅=　其实现在已经是社团活动开始的时间了。
丂偄偮傕側傜媫偄偱峴偔偲偙傠偩偗偳乧乧丅=　平常的话应该赶紧去的，但是……
丂偪傚偭偲婥暘傪棊偪拝偗偨偐偭偨丅=　想稍微平静一下心情。
丂俀丆俁擔慜偐傜姶偠偰偄偨丄傢偨偟偺夞傝偺柇側暤埻婥丅=　两三天前就开始感觉到，周围有种奇怪的氛围。
丂婥偵偟側偄傛偆偵偲巚偭偰傕丄傗偭傁傝怱偺偳偙偐偱僗僩儗僗傪棴傔崬傫偱偄傞傒偨偄乧丅=　虽然想不去在意，但看来内心某处还是积累了压力……
丂傢偨偟偼僼僃儞僗偵庤傪妡偗傞偲丄偦偺傑傑婑傝偐偐偭偨丅=　双手搭在栅栏上，就这样靠了上去。
丂崱擔偺晽偼杮摉偵婥帩偪偄偄乧丅=　今天的风真舒服啊……
丂偡傋偰偺寵側婥暘偑愻偄棳偝傟偰偄偔傛偆側婥偑偡傞乧丅=　感觉所有不愉快的心情都被吹散了……
丂廐恖偼傕偆丄晹妶偵峴偭偨偐偟傜丠=　秋人已经去社团了吧？
丂傢偨偟偑嫵幒偐傜弌傞偲偒偼丄偄偮傕偺傛偆偵帺暘偺惾偱儃働僢偲偟偰偨傒偨偄偩偗偳乧丅=　离开教室的时候，好像还和往常一样呆呆地坐在自己的座位上…
丂廐恖偭偰丄儂儞僩偵撣婥傛偹乧丅偄偮偱傕柧傞偔尦婥偱丄巕嫙偭傐偔偰乧丅=　秋人啊，真是个悠哉的家伙呢…总是那么开朗活泼，还那么孩子气…
丂傆傆偭丄偦偙偑廐恖偺偄偄偲偙傠偱傕偁傞傫偩偗偳偹丅=　呵呵，不过这也正是秋人的可爱之处呢。
丂偦偆傗偭偰丄廐恖偺偙偲傪峫偊偰傞偲丄晄巚媍偲怱偑榓傫偱偄偔婥偑偟偨丅=　就这样想着秋人的事，不知不觉间心情也变得平和起来了。
丂廐恖偺柧傞偄昞忣偑丄傢偨偟偵尦婥傪梌偊偰偔傟傞乧乧丅=　秋人开朗的表情，给了我力量……
丂傆偲丄廐恖偑傢偨偟傪桪偟偔堅傔偰偔傟傞巔傪憐憸偟偰傒偨丅=　突然，想象了一下秋人温柔安慰我的样子。
丂乧乧傉偭丄廐恖偵偼柍棟偐側偀丅=　……噗，秋人大概做不到吧。
丂劅劅偦傫側彫偝側岾偣婥暘偵怹偭偰偄偨偲偒偩偭偨丅=　──正沉浸在这种小小的幸福感中时。
丠乽傛偆丄偁丒偍丒偄両乿=？「哟，葵·小·姐！」
丂偦偺惡傪暦偄偨弖娫丄傢偨偟偼恎懱傪價僋儕偲恔傢偣偰偟傑偭偨丅=　听到那个声音的瞬间，身体不由自主地颤抖了一下。
丂峇偰偰怳傝岦偔偲丄偦偙偵偼恄揷偔傫偑棫偭偰偄偨両=　慌忙转身，那里站着神田同学！
埁乽乮傂偭両丠乯乿=葵「（呀！？）」
丂斵偺椬偵偼丄愩側傔偢傝傪偟偰僫僀僼傪偪傜偮偐偣偰偄傞柭奀偔傫傕偄傞丅=　在他身边，还有一个舔着嘴唇、挥舞着小刀的鸣海。
丂傢偨偟偼帺暘偺恎偺婋尟傪嶡抦偟丄偡偖偵僼僃儞僗偯偨偄偵壓偑偭偰偄偭偨丅=　察觉到自身危险，立即沿着栅栏往后退。
岝婸乽偳偆偟偨丄側偵晐偑偭偰儞偩傛丠乿=光辉「怎么了，在害怕什么啊？」
丂恄揷偔傫偼僯儎僯儎偲巆擡偦偆側徫傒傪晜偐傋側偑傜堦曕堦曕傢偨偟偺曽傊偲嬤晅偄偰偔傞丅=　神田带着残忍的笑容，一步步向这边靠近。
丂帺慠偲丄傢偨偟偺恎懱偑恔偊巒傔偰偒偨丅=　身体不由自主地开始颤抖。
埁乽傋丄暿偵乧晐偑偭偰偄傞傢偗偠傖乧乧乿=葵「才、才没有……害怕什么的……」
丂傢偨偟偺尵梩偼丄傎偲傫偳愢摼椡偑側偐偭偨丅=　说出的话几乎毫无说服力。
丂恄揷偔傫偼偦傫側傢偨偟偵僯儎僯儎偟偮偮丄嬤晅偄偰偔傞偺傪傗傔偰偼偔傟側偄丅=　神田对这样的我露出坏笑，丝毫没有停止靠近的意思。
丂偡傞偲丄傢偨偟偺攚拞偵壗偐偑傇偮偐偭偨丅=　这时，背后突然撞到了什么东西。
埁乽乮偊偭丠丂傑偩屻傠偺僼僃儞僗偼墦偄偺偵乧乧丠乯乿=葵「咦？明明后面的栅栏还远着呢……？」
丂嫲傞嫲傞丄傢偨偟偼屻傠傪怳傝岦偄偰傒偨丅=　战战兢兢地回头看了一眼。
埁乽乮偭両丠乯乿=葵「啊！？」
丂傢偨偟偺屻傠偵偼丄戝暱側恖偑棫偭偰偄傞丅恄揷偔傫偺庤壓偺僕儑乕僕偔傫偩両=　身后站着一个高大的人影。是神田的手下乔治！
丂傢偨偟偼婄傪恀偭惵偵偝偣丄偡偖偵摝偘弌偦偆偲偟偰傒偨丅=　脸色瞬间变得苍白，立刻想要逃跑。
丂偟偐偟丄偦傟傛傝傕憗偔恄揷偔傫偺庤偑傢偨偟偺庤傪捦傫偱偒偨両=　然而，神田的手比逃跑更快地抓住了手腕！
丂掞峈偡傞僸儅傕梌偊傜傟偢丄恄揷偔傫偼偄偲傕娙扨偵傢偨偟傪堷偒婑偣丄偦偟偰書偒偟傔偰偔傞丅=　连反抗的机会都没有，神田轻而易举地将我拉近，然后紧紧抱住。
埁乽偄傗偭両丂曻偟偰偭両両乿=葵「呀！放开我！！」
丂傢偨偟偼斶柭傪偁偘側偑傜僕僞僶僞偲傕偑偄偰傒偨丅=　一边发出尖叫，一边拼命挣扎。
丂偟偐偟恄揷偔傫偺椡偼嫮偔丄斵偼傃偔偲傕偟側偐偭偨丅=　但神田君的力气很大，他纹丝不动。
岝婸乽乧乧偮傟偹偉側丄埁乿=光辉「……真无情啊，葵」
丂偐傜偐偆傛偆側岥挷偱偦偆尵偆偲丄恄揷偔傫偼傢偨偟偵婄傪婑偣偰偒偨丅=　用戏谑的语气说完，神田君将脸凑了过来。
柭奀乽傂傖乣偭傂傖偭傂傖両丂偍擬偄偹偉丄偍擇恖偝傫両乿=鸣海「嘿～嘿嘿嘿！你们俩真是热情如火啊！」
丂柭奀偔傫偺傂傗偐偡惡偑暦偙偊偰偒偨傛偆側婥偑偟偨偗偳丄崱偺傢偨偟偵偼偦傫側傕偺偵娭傢偭偰偄傜傟傞傎偳偺梋桾偼側偐偭偨丅=　似乎听到了鸣海君调侃的声音，但现在根本没有余力去理会那种事。
埁乽傗傔偰偭両丂側偵偡傞偺両丠乿=葵「住手！你要干什么！？」
丂傢偨偟偼昁巰偵恎傪傛偠傝丄側傞傋偔恄揷偔傫偵娽傪崌傢偣側偄傛偆偵婄傪攚偗傞丅=　拼命扭动身体，尽量避开与神田君的眼神接触，把脸转向一边。
岝婸乽偍偄丄偙偭偪岦偗傛丄埁乿=光辉「喂，看这边，葵」
丂恄揷偔傫偼妝偟偦偆側惡偱偦偆尵偆偲丄傢偨偟偺妠傪捦傒丄柍棟栴棟僌僀偲帺暘偺曽傊岦偐偣偰偒偨丅=　神田君用愉悦的声音说着，抓住下巴，强行将脸扳向自己。
丂偦傟偩偗偱側偔丄傢偨偟偺攚拞偵夞偝傟偨恄揷偔傫偺庤偼恎懱傪傑偝偖偭偰偔傞丅=　不仅如此，神田君环绕在背后的手还在身体上四处游走。
埁乽偄傗偀乧乧僢両乿=葵「呀啊……！」
丂傢偨偟偼丄恎懱偑嫮挘偭偰偟傑偭偨偨傔偵摦偔偙偲偑弌棃側偔側偭偰偟傑偭偨丅=　因为身体变得僵硬，已经无法动弹了。
丂乧乧摝偘偨偄両=　……想逃！
丂恄揷偔傫偵僉僗傪偝傟傞偺傕僀儎偩偭偨偟丄側偵傛傝傕攚嬝傪攪偄夞傞斵偺庤偵丄偙傟埲忋側偄傎偳偺寵埆姶傪妎偊偰偄偨偐傜乧乧丅=　不仅不想被神田君亲吻，更重要的是，对于他在背上游走的手，感到了无以复加的厌恶……
埁乽乮側傫偱偙傫側偙偲偡傞偺乧乧両丠乯乿=葵「（为什么要做这种事……！？）」
丂摢偺拞偑崿棎偟偰偒偨丅=　脑子里开始混乱起来。
丂偳偆偟偰恄揷偔傫偑偙傫側偙偲傪偡傞偺偐丄偦偟偰側偤丄帺暘偑偙傫側栚偵憳傢側偗傟偽側傜側偄偺偐丄傑偭偨偔棟夝弌棃側偐偭偨丅=　完全无法理解神田君为什么要做这种事，以及为什么自己要遭遇这种事。
丂傢偨偟偼丄巚傢偢偓傘偭偲栚傪嵋偭偰偟傑偆丅=　不由自主地紧紧闭上了眼睛。
埁乽乮乧乧乧乧乧乧偁傟丠乯乿=葵「（………………咦？）」
丂晄巚媍側偙偲偵丄恄揷偔傫偼偦傟埲忋偺峴堊偵憱傠偆偲偼偟側偐偭偨丅=　奇怪的是，神田君并没有进一步采取行动。
丂偡傞偲恄揷偔傫偑扤偐傪攍傞傛偆側惡梺傃偣偰偄偨丅=　接着，神田君像是在骂谁似的大声喊道。
岝婸乽乧傫偩傛丄偰傔偉偼両乿=光辉「…搞什么啊，你这混蛋！」
丂傆偭偲栚傪奐偔偲丄恄揷偔傫偺帇慄偼偡偱偵傢偨偟傪尒偰偼偄側偐偭偨丅=　轻轻睁开眼睛，神田君的视线已经不再看着自己了。
丂偝傜偵傛偔尒傞偲丄墶偐傜怢傃偰偄傞扤偐偺榬偑丄傢偨偟偺庤傪晻偠偰偄傞恄揷偔傫偺塃庤庱傪捦傫偱偄偨丅=　仔细一看，从旁边伸出的某人的手臂正抓住了神田君钳制自己的右手腕。
埁乽乮偩丄扤側偺乧乧丠乯乿=葵「是、是谁啊……？」
丂偦偺恖偼恄揷偔傫偺屻傠偵棫偭偰偄傞偨傔丄扤側偺偐偑偼偭偒傝偲傢偐傜側偐偭偨丅=　因为那个人站在神田君身后，所以看不清到底是谁。
丂傢偨偟偼丄昁巰偱榬偺庡傪尒傛偆偲帋傒偰傒偨丅=　拼命地想要看清那只手臂的主人。
埁乽偭両乧乧傆備乿=葵「呃！……冬」
丂嬃偒偺偁傑傝忋庤偔尵梩偑偟傖傋傟側偄丅=　震惊得说不出完整的话来。
丂偱傕丄傢偨偟偺栚偼妋幚偵榬偺庡傪尒傞偙偲偑弌棃偨丅=　但是，眼睛确实看清了那只手臂的主人。
埁乽乮搤庽偍孼偪傖傫両乯乿=葵「（冬树哥哥！）」
搤庽乽乧乧彈偺巕偵丄偦傫側棎朶側偙偲傪偡傞傕傫偠傖側偄傛乿=冬树「……对女孩子，不该做这么粗暴的事啊」
丂搤庽偍孼偪傖傫偼丄壐傗偐側惡怓偱恄揷偔傫偵偦偆尵偭偨丅=　冬树哥哥用温和的语气对神田这样说道。
柭奀乽偁偁傫丠丂僥儊僃偵傖娭學偹偉偩傠偆偑傛両乿=鸣海「啊啊？你他妈的关你屁事啊！」
丂柭奀偔傫偑惡崅偵偦偆嫨傫偩丅=　鸣海高声喊道。
丂偩偗偳搤庽偍孼偪傖傫偼偦傫側偙偲偼偍峔偄側偟偩丅=　但冬树哥哥对此毫不在意。
丂傗偑偰丄偍孼偪傖傫偺庤偵椡偑擖傝巒傔偰偄偭偨丅壐傗偐側偦偺昞忣偲偼棤暊偵丄彊乆偵恄揷偔傫偺庤庱傪堷偒棧偦偆偲偟偰偄傞偺偑傢偐傞丅=　不久，哥哥的手开始用力。与那平静的表情相反，能感觉到他正在逐渐试图掰开神田的手腕。
岝婸乽乧乧乧乧乧乧偪偭両乿=光辉「………………啧！」
丂恄揷偔傫偼傢偢偐偵婄傪偟偐傔偰愩懪偪傪偡傞偲丄傢偨偟偺恎懱傪偡偭偲棧偟偨丅=　神田轻皱眉头咂了下舌，随即松开了身体。
埁乽偍孼偪傖傫両乿=葵「哥哥！」
丂峇偰偰搤庽偍孼偪傖傫偺屻傠偵塀傟丄傢偨偟偼斵偺攚屻偐傜條巕傪尒傞偙偲偵偟偨丅=　慌忙躲到冬树哥哥身后，决定从他背后观察情况。
岝婸乽偗偭丄僫僀僩偺偛搊応偭偰傢偗偐丠乿=光辉「切，骑士大人登场了吗？」
丂恄揷偔傫偼尐傪偡偔傔丄忕択傔偐偟偨岥挷偱搤庽偍孼偪傖傫偵尵偭偨丅=　神田耸了耸肩，用开玩笑的口吻对冬树哥哥说道。
丂偩偗偳丄恄揷偔傫偺栚偼徫偭偰偼偄側偄丅=　但是，神田的眼睛并没有在笑。
搤庽乽杔偼乧偦傫側偮傕傝偼側偄偗偳偹乿=冬树「我…并没有那种意思」
丂恄揷偔傫偲偵傜傒崌偄傪懕偗偰偄傞偍孼偪傖傫偼丄壐傗偐側岥挷偺傑傑偦偆墳偊偨丅=　哥哥继续与神田君对视着，用平和的语气如此回答。
丂斵偺攚偵塀傟偨傑傑偺傢偨偟偐傜偼丄搤庽偍孼偪傖傫偑偳傫側昞忣傪偟偰偄傞偐偼傢偐傜側偄丅=　一直躲在他背后的自己看不到冬树哥哥脸上的表情。
丂偩偗偳丄傢偨偟傪庣傠偆偲昁巰偵側偭偰偔傟偰偄傞偺偼傛偔傢偐偭偨丅=　但是，能够清楚地感受到他正拼命地想要保护自己。
丂偟偽偟搤庽偍孼偪傖傫偲偵傜傒崌偭偰偄偨恄揷偔傫偩偑丄傗偑偰偮傑傜側偦偆側婄傪偟偰抧柺偵傌偭偲懥傪揻偒妡偗偨丅=　与冬树哥哥对视了一会儿的神田君，最后一脸无趣地朝地上啐了一口唾沫。
岝婸乽働僢両丂婥偑偦偑傟偪傑偭偨丅乧乧偍偄丄僕儑乕僕丄僫儖丄偄偔偧乿=光辉「切！没意思了。……喂，乔治，鸣海，走了」
丂恄揷偔傫偼偦偆尵偭偰丄柭奀偔傫偲僕儑乕僕偔傫偵妠傪偟傖偔偭偨丅=　神田君说着，朝鸣海君和乔治君扬了扬下巴。
丂柭奀偔傫偼乽偪偭乿偲愩懪偪偡傞偑丄恄揷偔傫偼偦傟偡傜傕柍帇偟偰偄偭偨丅=　鸣海君「啧」地咂了下舌，但神田君连这都无视了。
丂偦偟偰僕儑乕僕偔傫偼廔巒柍尵偺傑傑丄恄揷偔傫偵晅偒廬偭偰偄偭偨丅=　而乔治君则始终保持沉默，跟随着神田君离开。
丂壆忋偺僪傾偑僶僞儞丄偲偟傑偭偨弖娫丄傢偨偟偼旼偺椡偑敳偗偒偭偰偟傑偄丄偦偺傑傑抧柺偵傊偨傝崬傫偱偟傑偭偨丅=　屋顶的门砰地一声关上的瞬间，双膝再也使不上力气，就这样瘫坐在了地上。
埁乽偼丄偼偀偀偀乧乧乿=葵「哈、哈啊啊啊……」
丂巚傢偢埨揼偺棴傔懅傑偱偮偄偰偟傑偭偨丅=　不由自主地松了一口气。
搤庽乽乧乧埁偪傖傫丄戝忎晇偐偄丠乿=冬树「……葵，你没事吧？」
埁乽偆丄偆傫乧戝忎晇丅乧乧偁傝偑偲丄搤庽偍孼偪傖傫乿=葵「嗯、嗯……没事。……谢谢你，冬树哥哥」
丂傢偨偟偺偦偺惡傪暦偒丄搤庽偍孼偪傖傫傕傛偆傗偔儂僢偲偟偨傒偨偄偩丅=　听到我的回答，冬树哥哥似乎也终于松了一口气。
搤庽乽乧乧偦傟偵偟偰傕丄斵傜偼偄偭偨偄壗幰側傫偩偄丠乿=冬树「……话说回来，他们到底是什么人啊？」
丂斵傜丄偲偼恄揷偔傫偨偪偺偙偲偩傠偆丅=　他们，指的应该是神田他们吧。
埁乽偁丄恄揷偔傫偨偪偼丄椬偺僋儔僗偺恖側傫偩偗偳乧乧乿=葵「啊，神田他们是隔壁班的同学……」
丂傆偲恄揷偔傫偺椻偨偄徫傒偑摢偺拞偵晜偐傫偱偒偨丅偦傟偲摨帪偵傢偨偟偺恎懱偑傇傞傝偲恔偊偰偟傑偆丅=　突然，神田冰冷的笑容浮现在脑海中。与此同时，身体不由自主地颤抖起来。
丂傢偨偟偼巚傢偢帺暘偺尐傪偓傘偭偲書偄偨丅=　不由自主地紧紧抱住了自己的肩膀。
搤庽乽乧乧乧乧乿=冬树「…………」
丂搤庽偍孼偪傖傫偼偦傟埲忋壗傕尵傢偢丄傢偨偟偺摢傪傐傫傐傫偲寉偔扏偄偨丅=　冬树哥哥没再多说什么，只是轻轻地拍了拍我的头。
丂傑傞偱丄巕嫙傪偁傗偡傒偨偄偵丅=　就像在哄小孩子一样。
